,ID1,ID2,Relation
195,capec220,capec274,ParentOf
196,capec194,capec275,ParentOf
197,capec272,capec276,ParentOf
198,capec272,capec277,ParentOf
199,capec272,capec278,ParentOf
200,capec278,capec279,ParentOf
201,capec279,capec110,CanPrecede
202,capec279,capec228,CanPrecede
203,capec292,capec285,ParentOf
204,capec300,capec287,ParentOf
205,capec26,capec29,ParentOf
206,capec309,capec290,ParentOf
207,capec309,capec291,ParentOf
208,capec169,capec292,ParentOf
209,capec309,capec293,ParentOf
210,capec292,capec294,ParentOf
211,capec292,capec295,ParentOf
212,capec292,capec296,ParentOf
213,capec292,capec297,ParentOf
214,capec292,capec298,ParentOf
215,capec292,capec299,ParentOf
216,capec267,capec3,ParentOf
217,capec233,capec30,ParentOf
218,capec169,capec300,ParentOf
219,capec300,capec301,ParentOf
220,capec300,capec302,ParentOf
221,capec300,capec303,ParentOf
222,capec300,capec304,ParentOf
223,capec300,capec305,ParentOf
224,capec300,capec306,ParentOf
225,capec300,capec307,ParentOf
226,capec300,capec308,ParentOf
227,capec169,capec309,ParentOf
228,capec309,capec664,CanPrecede
229,capec39,capec31,ParentOf
230,capec157,capec31,ParentOf
231,capec541,capec310,ParentOf
232,capec224,capec312,ParentOf
233,capec224,capec313,ParentOf
234,capec312,capec317,ParentOf
235,capec312,capec318,ParentOf
236,capec312,capec319,ParentOf
237,capec591,capec32,ParentOf
238,capec588,capec32,ParentOf
239,capec592,capec32,ParentOf
240,capec312,capec320,ParentOf
241,capec312,capec321,ParentOf
242,capec312,capec322,ParentOf
243,capec312,capec323,ParentOf
244,capec312,capec324,ParentOf
245,capec312,capec325,ParentOf
246,capec312,capec326,ParentOf
247,capec312,capec327,ParentOf
248,capec312,capec328,ParentOf
249,capec312,capec329,ParentOf
250,capec220,capec33,ParentOf
251,capec33,capec115,CanPrecede
252,capec33,capec141,CanPrecede
253,capec33,capec63,CanPrecede
254,capec33,capec593,CanPrecede
255,capec33,capec148,CanPrecede
256,capec33,capec154,CanPrecede
257,capec312,capec330,ParentOf
258,capec312,capec331,ParentOf
259,capec312,capec332,ParentOf
260,capec220,capec34,ParentOf
261,capec34,capec115,CanPrecede
262,capec34,capec141,CanPrecede
263,capec34,capec63,CanPrecede
264,capec34,capec593,CanPrecede
265,capec34,capec148,CanPrecede
266,capec34,capec154,CanPrecede
267,capec636,capec35,ParentOf
268,capec35,capec23,PeerOf
269,capec35,capec75,PeerOf
270,capec113,capec36,ParentOf
271,capec167,capec37,ParentOf
272,capec159,capec38,ParentOf
273,capec407,capec383,ParentOf
274,capec383,capec94,CanPrecede
275,capec94,capec384,ParentOf
276,capec384,capec385,ParentOf
277,capec94,capec386,ParentOf
278,capec386,capec387,ParentOf
279,capec386,capec388,ParentOf
