,ID1,ID2,Relation
199,capec278,capec272,ChildOf
200,capec279,capec278,ChildOf
201,capec110,capec279,CanFollow
202,capec228,capec279,CanFollow
203,capec285,capec292,ChildOf
204,capec287,capec300,ChildOf
205,capec29,capec26,ChildOf
206,capec290,capec309,ChildOf
207,capec291,capec309,ChildOf
208,capec292,capec169,ChildOf
209,capec293,capec309,ChildOf
210,capec294,capec292,ChildOf
211,capec295,capec292,ChildOf
212,capec296,capec292,ChildOf
213,capec297,capec292,ChildOf
214,capec298,capec292,ChildOf
215,capec299,capec292,ChildOf
216,capec3,capec267,ChildOf
217,capec30,capec233,ChildOf
218,capec300,capec169,ChildOf
219,capec301,capec300,ChildOf
220,capec302,capec300,ChildOf
221,capec303,capec300,ChildOf
222,capec304,capec300,ChildOf
223,capec305,capec300,ChildOf
224,capec306,capec300,ChildOf
225,capec307,capec300,ChildOf
226,capec308,capec300,ChildOf
227,capec309,capec169,ChildOf
228,capec664,capec309,CanFollow
229,capec31,capec39,ChildOf
230,capec31,capec157,ChildOf
231,capec310,capec541,ChildOf
232,capec312,capec224,ChildOf
233,capec313,capec224,ChildOf
234,capec317,capec312,ChildOf
235,capec318,capec312,ChildOf
236,capec319,capec312,ChildOf
237,capec32,capec591,ChildOf
238,capec32,capec588,ChildOf
239,capec32,capec592,ChildOf
240,capec320,capec312,ChildOf
241,capec321,capec312,ChildOf
242,capec322,capec312,ChildOf
243,capec323,capec312,ChildOf
244,capec324,capec312,ChildOf
245,capec325,capec312,ChildOf
246,capec326,capec312,ChildOf
247,capec327,capec312,ChildOf
248,capec328,capec312,ChildOf
249,capec329,capec312,ChildOf
250,capec33,capec220,ChildOf
251,capec115,capec33,CanFollow
252,capec141,capec33,CanFollow
253,capec63,capec33,CanFollow
254,capec593,capec33,CanFollow
255,capec148,capec33,CanFollow
256,capec154,capec33,CanFollow
257,capec330,capec312,ChildOf
258,capec331,capec312,ChildOf
259,capec332,capec312,ChildOf
260,capec34,capec220,ChildOf
261,capec115,capec34,CanFollow
262,capec141,capec34,CanFollow
263,capec63,capec34,CanFollow
264,capec593,capec34,CanFollow
265,capec148,capec34,CanFollow
266,capec154,capec34,CanFollow
267,capec35,capec636,ChildOf
268,capec23,capec35,PeerOf
269,capec75,capec35,PeerOf
270,capec36,capec113,ChildOf
271,capec37,capec167,ChildOf
272,capec38,capec159,ChildOf
273,capec383,capec407,ChildOf
274,capec94,capec383,CanFollow
275,capec384,capec94,ChildOf
276,capec385,capec384,ChildOf
277,capec386,capec94,ChildOf
278,capec387,capec386,ChildOf
279,capec388,capec386,ChildOf
280,capec389,capec384,ChildOf
281,capec39,capec22,ChildOf
282,capec391,capec390,ChildOf
283,capec392,capec391,ChildOf
284,capec393,capec391,ChildOf
285,capec394,capec391,ChildOf
286,capec395,capec390,ChildOf
287,capec397,capec395,ChildOf
288,capec398,capec395,ChildOf
289,capec399,capec395,ChildOf
290,capec4,capec267,ChildOf
291,capec40,capec248,ChildOf
292,capec400,capec395,ChildOf
293,capec401,capec440,ChildOf
294,capec402,capec401,ChildOf
295,capec406,capec150,ChildOf
296,capec163,capec406,CanFollow
297,capec675,capec406,CanFollow
298,capec407,capec416,ChildOf
299,capec407,capec410,ChildOf
300,capec163,capec407,CanFollow
301,capec41,capec242,ChildOf
302,capec41,capec134,ChildOf
303,capec412,capec407,ChildOf
304,capec413,capec407,ChildOf
305,capec414,capec407,ChildOf
306,capec415,capec407,ChildOf
307,capec417,capec416,ChildOf
308,capec418,capec417,ChildOf
309,capec42,capec100,ChildOf
310,capec420,capec417,ChildOf
311,capec421,capec417,ChildOf
312,capec422,capec417,ChildOf
313,capec423,capec417,ChildOf
314,capec424,capec417,ChildOf
315,capec425,capec416,ChildOf
316,capec426,capec416,ChildOf
317,capec427,capec416,ChildOf
318,capec428,capec427,ChildOf
319,capec429,capec427,ChildOf
320,capec43,capec267,ChildOf
